date,entry_time,entry_price,entry_credit,contracts,exit_reason,pnl
2025-06-25,3.0,607.95,1.375,10,Hold: Worthless,13.75
2025-06-25,3.5,608.34,1.4375,10,TP (50%),7.1875
2025-06-26,0.0,608.82,1.0,10,Hold: Worthless,10.0
2025-06-26,0.5,609.39,1.0625,10,Hold: Worthless,10.625
2025-06-26,1.0,609.0,1.125,10,SL,-1.125
2025-06-26,1.5,609.05,1.1875,10,Hold: Worthless,11.875
2025-06-26,2.0,609.28,1.25,10,Hold: Worthless,12.5
2025-06-26,2.5,608.86,1.3125,10,Hold: Worthless,13.125
2025-06-26,3.0,608.7799,1.375,10,SL,-1.375
2025-06-26,3.5,609.02,1.4375,10,Hold: Worthless,14.375
2025-06-27,0.0,613.61,1.0,10,Hold: Worthless,10.0
2025-06-27,0.5,613.35,1.0625,10,Hold: Worthless,10.625
2025-06-27,1.0,613.79,1.125,10,SL,-1.125
2025-06-27,1.5,614.31,1.1875,10,TP (50%),5.9375
2025-06-27,2.0,614.0,1.25,10,TP (50%),6.25
2025-06-27,2.5,613.635,1.3125,10,TP (50%),6.5625
2025-06-27,3.0,613.09,1.375,10,TP (50%),6.875
2025-06-27,3.5,613.5,1.4375,10,Hold: Worthless,14.375
2025-06-30,0.0,617.67,1.0,10,TP (50%),5.0
2025-06-30,0.5,617.41,1.0625,10,Hold: Worthless,10.625
2025-06-30,1.0,617.53,1.125,10,SL,-1.125
2025-06-30,1.5,617.81,1.1875,10,Hold: Worthless,11.875
2025-06-30,2.0,617.52,1.25,10,Hold: Worthless,12.5
2025-06-30,2.5,617.21,1.3125,10,SL,-1.3125
2025-06-30,3.0,617.07,1.375,10,TP (50%),6.875
2025-06-30,3.5,617.49,1.4375,10,Hold: Worthless,14.375
2025-07-01,0.0,616.8,1.0,10,TP (50%),5.0
2025-07-01,0.5,616.99,1.0625,10,Hold: Worthless,10.625
2025-07-01,1.0,617.08,1.125,10,SL,-1.125
2025-07-01,1.5,616.99,1.1875,10,SL,-1.1875
2025-07-01,2.0,616.27,1.25,10,TP (50%),6.25
2025-07-01,2.5,616.0,1.3125,10,SL,-1.3125
2025-07-01,3.0,616.56,1.375,10,TP (50%),6.875
2025-07-01,3.5,616.62,1.4375,10,TP (50%),7.1875
2025-07-02,0.0,618.41,1.0,10,SL,-1.0
2025-07-02,0.5,618.4,1.0625,10,SL,-1.0625
2025-07-02,1.0,618.4,1.125,10,SL,-1.125
2025-07-02,1.5,618.2,1.1875,10,Hold: Worthless,11.875
2025-07-02,2.0,617.64,1.25,10,SL,-1.25
2025-07-02,2.5,616.81,1.3125,10,Hold: Worthless,13.125
2025-07-02,3.0,616.96,1.375,10,TP (50%),6.875
2025-07-02,3.5,617.475,1.4375,10,SL,-1.4375000000000002
2025-07-03,0.0,621.14,1.0,10,SL,-1.0
2025-07-03,0.5,620.67,1.0625,10,Hold: Worthless,10.625
2025-07-03,1.0,621.21,1.125,10,Hold: Worthless,11.25
2025-07-03,1.5,621.23,1.1875,10,SL,-1.1875
2025-07-03,2.0,621.38,1.25,10,SL,-1.25
2025-07-03,2.5,622.05,1.3125,10,TP (50%),6.5625
2025-07-03,3.0,622.14,1.375,10,Hold: Worthless,13.75
2025-07-03,3.5,623.395,1.4375,10,TP (50%),7.1875
2025-07-07,0.0,622.7,1.0,10,Hold: Worthless,10.0
2025-07-07,0.5,623.98,1.0625,10,SL,-1.0625
2025-07-07,1.0,623.71,1.125,10,Hold: Worthless,11.25
2025-07-07,1.5,623.99,1.1875,10,Hold: Worthless,11.875
2025-07-07,2.0,623.98,1.25,10,Hold: Worthless,12.5
2025-07-07,2.5,624.301,1.3125,10,SL,-1.3125
2025-07-07,3.0,623.27,1.375,10,TP (50%),6.875
2025-07-07,3.5,623.2264,1.4375,10,SL,-1.4375000000000002
2025-07-08,0.0,621.49,1.0,10,SL,-1.0
2025-07-08,0.5,621.36,1.0625,10,TP (50%),5.3125
2025-07-08,1.0,621.49,1.125,10,SL,-1.125
2025-07-08,1.5,621.9,1.1875,10,Hold: Worthless,11.875
2025-07-08,2.0,621.5,1.25,10,TP (50%),6.25
2025-07-08,2.5,621.2,1.3125,10,Hold: Worthless,13.125
2025-07-08,3.0,621.48,1.375,10,Hold: Worthless,13.75
2025-07-08,3.5,621.34,1.4375,10,SL,-1.4375000000000002
2025-07-09,0.0,621.41,1.0,10,Hold: Worthless,10.0
2025-07-09,0.5,621.49,1.0625,10,TP (50%),5.3125
2025-07-09,1.0,621.6,1.125,10,SL,-1.125
2025-07-09,1.5,621.69,1.1875,10,SL,-1.1875
2025-07-09,2.0,621.99,1.25,10,SL,-1.25
2025-07-09,2.5,621.81,1.3125,10,Hold: Worthless,13.125
2025-07-09,3.0,623.21,1.375,10,Hold: Worthless,13.75
2025-07-09,3.5,624.39,1.4375,10,SL,-1.4375000000000002
2025-07-10,0.0,622.94,1.0,10,TP (50%),5.0
2025-07-10,0.5,623.31,1.0625,10,SL,-1.0625
2025-07-10,1.0,623.69,1.125,10,SL,-1.125
2025-07-10,1.5,624.32,1.1875,10,TP (50%),5.9375
2025-07-10,2.0,623.95,1.25,10,SL,-1.25
2025-07-10,2.5,623.5,1.3125,10,Hold: Worthless,13.125
2025-07-10,3.0,623.8,1.375,10,SL,-1.375
2025-07-10,3.5,623.55,1.4375,10,Hold: Worthless,14.375
2025-07-11,0.0,622.44,1.0,10,TP (50%),5.0
2025-07-11,0.5,621.98,1.0625,10,Hold: Worthless,10.625
2025-07-11,1.0,621.72,1.125,10,TP (50%),5.625
2025-07-11,1.5,622.219,1.1875,10,Hold: Worthless,11.875
2025-07-11,2.0,622.73,1.25,10,TP (50%),6.25
2025-07-11,2.5,622.891,1.3125,10,SL,-1.3125
2025-07-11,3.0,622.3,1.375,10,SL,-1.375
2025-07-11,3.5,622.43,1.4375,10,SL,-1.4375000000000002
2025-07-14,0.0,621.98,1.0,10,SL,-1.0
2025-07-14,0.5,621.95,1.0625,10,SL,-1.0625
2025-07-14,1.0,621.86,1.125,10,Hold: Worthless,11.25
2025-07-14,1.5,622.17,1.1875,10,Hold: Worthless,11.875
2025-07-14,2.0,622.0416,1.25,10,SL,-1.25
2025-07-14,2.5,622.2199,1.3125,10,SL,-1.3125
2025-07-14,3.0,622.11,1.375,10,SL,-1.375
2025-07-14,3.5,621.94,1.4375,10,Hold: Worthless,14.375
2025-07-15,0.0,626.99,1.0,10,SL,-1.0
2025-07-15,0.5,627.15,1.0625,10,Hold: Worthless,10.625
2025-07-15,1.0,627.03,1.125,10,Hold: Worthless,11.25
2025-07-15,1.5,627.33,1.1875,10,SL,-1.1875
2025-07-15,2.0,627.17,1.25,10,SL,-1.25
